Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.296,0.061
k_p1,0.406,3.736,0.165
k_p2,0.564,37.181,22.573
k_ent,0.000,0.000,0.000
k_stor,0.710,0.038,0.012
k_sliv,0.380,0.110,0.019
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000
k_ent_gf,0.091,1.360,0.095
k_ent_omm,0.449,0.745,0.069
k_ent_spf,0.850,0.590,0.065

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D5FA16_SPF_Ileum,1.0,34.392,34.392,69.391,,,
D5FA16_SPF_Ileum,2.0,99.108,99.108,56.080,,,
D5FA16_SPF_Ileum,6.0,79.489,79.489,5.466,,,
D5FA16_SPF_Plasma,0.0,0.000,0.000,0.000,44875.366,153.182,0.800
D5FA16_SPF_Plasma,1.0,745.188,745.188,493.494,,,
D5FA16_SPF_Plasma,2.0,648.835,648.835,989.006,,,
D5FA16_SPF_Plasma,6.0,458.765,458.765,479.626,,,
D5FA16_SPF_Liver,0.0,0.000,0.000,0.000,50204.742,185.248,0.895
D5FA16_SPF_Liver,1.0,186.624,186.624,18.978,,,
D5FA16_SPF_Liver,2.0,456.888,456.888,105.600,,,
D5FA16_SPF_Liver,6.0,692.753,692.753,470.693,,,
D5FA16_SPF_Content_duodenum,0.0,0.000,0.000,0.000,35733.304,119.245,0.936
D5FA16_SPF_Content_duodenum,1.0,308.654,308.654,673.552,,,
D5FA16_SPF_Content_duodenum,2.0,122.769,122.769,24.889,,,
D5FA16_SPF_Content_duodenum,6.0,14.200,14.200,0.000,,,
D5FA16_SPF_Content_jejunum,0.0,0.000,0.000,0.000,30028.428,126.114,0.995
D5FA16_SPF_Content_jejunum,1.0,1430.700,1430.700,1134.942,,,
D5FA16_SPF_Content_jejunum,2.0,253.333,253.333,75.284,,,
D5FA16_SPF_Content_jejunum,6.0,30.651,30.651,0.000,,,
D5FA16_SPF_Content_ileum,0.0,0.000,0.000,0.000,163216.500,232.339,0.016
D5FA16_SPF_Content_ileum,1.0,235.774,235.774,118.688,,,
D5FA16_SPF_Content_ileum,2.0,807.475,807.475,8.106,,,
D5FA16_SPF_Content_ileum,6.0,12.901,12.901,0.000,,,
D5FA16_SPF_iWAT,0.0,0.000,0.000,0.000,2622.127,33.346,0.964
D5FA16_SPF_iWAT,1.0,7.882,7.882,6.585,,,
D5FA16_SPF_iWAT,2.0,0.294,0.294,36.642,,,
D5FA16_SPF_iWAT,6.0,67.588,67.588,163.326,,,
D5FA16_SPF_eWAT,0.0,0.000,0.000,0.000,4877.120,44.462,0.978
D5FA16_SPF_eWAT,1.0,0.000,0.000,6.585,,,
D5FA16_SPF_eWAT,2.0,0.000,0.000,36.642,,,
D5FA16_SPF_eWAT,6.0,28.706,28.706,163.326,,,
D5FA16_SPF_Content_colon,0.0,0.000,0.000,0.000,49045.071,139.331,-0.367
D5FA16_SPF_Content_colon,1.0,6.765,6.765,132.209,,,
D5FA16_SPF_Content_colon,2.0,16.774,16.774,9.622,,,
D5FA16_SPF_Content_colon,6.0,424.727,424.727,0.000,,,
D5FA16_SPF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_SPF_Content_cecum,1.0,0.000,,125.386,,,
D5FA16_SPF_Content_cecum,2.0,0.000,,8.833,,,
D5FA16_SPF_Content_cecum,6.0,0.000,,0.000,,,
D31FA16_SPF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_SPF_si,1.0,0.000,,238.304,,,
D31FA16_SPF_si,2.0,0.000,,5.657,,,
D31FA16_SPF_si,6.0,0.000,,0.000,,,
D31FA16_SPF_Duodenum,0.0,0.000,0.000,0.000,101012.038,220.203,0.993
D31FA16_SPF_Duodenum,1.0,343.308,343.308,888.680,,,
